2026-05-18T04:41:15+07:00 sample=01 {"temperature": 31.5, "humidity": 79.3}
2026-05-18T04:41:17+07:00 sample=02 {"temperature": 31.5, "humidity": 79.1}
2026-05-18T04:41:19+07:00 sample=03 {"temperature": 31.5, "humidity": 79.1}
2026-05-18T04:41:22+07:00 sample=04 {"temperature": 31.5, "humidity": 79.1}
2026-05-18T04:41:24+07:00 sample=05 {"temperature": 31.6, "humidity": 79.1}
2026-05-18T04:41:27+07:00 sample=06 {"temperature": 31.5, "humidity": 79.1}
2026-05-18T04:41:29+07:00 sample=07 {"temperature": 31.6, "humidity": 79.1}
2026-05-18T04:41:32+07:00 sample=08 {"temperature": 31.6, "humidity": 79.0}
2026-05-18T04:41:34+07:00 sample=09 {"temperature": 31.5, "humidity": 79.1}
2026-05-18T04:41:39+07:00 sample=10 {"temperature": 31.6, "humidity": 79.1}
2026-05-18T04:41:41+07:00 sample=11 {"temperature": 31.5, "humidity": 79.0}
2026-05-18T04:41:44+07:00 sample=12 {"temperature": 31.6, "humidity": 79.0}
2026-05-18T04:41:46+07:00 sample=13 {"temperature": 31.6, "humidity": 79.0}
2026-05-18T04:41:51+07:00 sample=14 {"temperature": 31.6, "humidity": 79.0}
2026-05-18T04:41:56+07:00 sample=15 {"temperature": 31.6, "humidity": 79.1}
2026-05-18T04:41:58+07:00 sample=16 {"temperature": 31.5, "humidity": 79.1}
2026-05-18T04:42:01+07:00 sample=17 {"temperature": 31.5, "humidity": 79.0}
2026-05-18T04:42:03+07:00 sample=18 {"temperature": 31.6, "humidity": 79.1}
2026-05-18T04:42:05+07:00 sample=19 {"temperature": 31.6, "humidity": 79.2}
2026-05-18T04:42:08+07:00 sample=20 {"temperature": 31.6, "humidity": 79.2}
2026-05-18T04:42:10+07:00 sample=21 {"temperature": 31.5, "humidity": 79.2}
2026-05-18T04:42:13+07:00 sample=22 {"temperature": 31.6, "humidity": 79.2}
2026-05-18T04:42:15+07:00 sample=23 {"temperature": 31.6, "humidity": 79.1}
2026-05-18T04:42:20+07:00 sample=24 {"temperature": 31.5, "humidity": 79.0}
2026-05-18T04:42:22+07:00 sample=25 {"temperature": 31.6, "humidity": 79.0}
2026-05-18T04:42:25+07:00 sample=26 {"temperature": 31.6, "humidity": 79.1}
2026-05-18T04:42:27+07:00 sample=27 {"temperature": 31.6, "humidity": 79.1}
2026-05-18T04:42:30+07:00 sample=28 {"temperature": 31.6, "humidity": 79.0}
2026-05-18T04:42:32+07:00 sample=29 {"temperature": 31.5, "humidity": 79.0}
2026-05-18T04:42:35+07:00 sample=30 {"temperature": 31.6, "humidity": 79.0}
