[    0.11s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[    1.83s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[    3.54s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[    5.27s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[    6.99s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[    8.71s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   10.42s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   12.14s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   12.43s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   14.14s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   15.86s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   17.58s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   19.29s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   21.02s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   22.73s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   24.45s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   26.17s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   29.60s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   29.60s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   31.33s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   33.04s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   34.77s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   36.48s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   38.20s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   39.86s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   41.53s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   43.25s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   43.46s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   45.18s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   46.89s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   48.61s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   50.33s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   52.05s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   53.76s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   55.48s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   58.92s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   58.92s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   60.65s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   62.36s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   64.07s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   67.51s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   67.51s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   69.23s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   70.96s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   72.66s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
[   74.39s] Authority: addr_test1qrkelya7r44ruaqdafgecg3x26k32jma9xd3jf22rqhwljc78quuslza9pdh3swe6cglgmdwq7xp6m6zdr5lt9cs59rsj52qrw | Locked: true
